blogId,blogUrl,nickname,groupIds,groupNames,isInfluencer,influencerId,influencerUrl
"lsp3623","https://blog.naver.com/lsp3623","필연","2","06.투자","N","",""
"searosea","https://blog.naver.com/searosea","테오필로","2","06.투자","N","",""
"owlradar","https://blog.naver.com/owlradar","부엉이RADAR","14","03.정리","N","",""
"cejjun1","https://blog.naver.com/cejjun1","용감한심장","2","06.투자","N","",""
"stoxxer","https://blog.naver.com/stoxxer","사짜","2","06.투자","N","",""
"layeredinvest","https://blog.naver.com/layeredinvest","레이어드","2","06.투자","N","",""
"are_potato","https://blog.naver.com/are_potato","알감자","2","06.투자","N","",""
"maguire9","https://blog.naver.com/maguire9","핫딜","2","06.투자","N","",""
"lemonlikit","https://blog.naver.com/lemonlikit","lemonlikit","2","06.투자","N","",""
"hoonjaek","https://blog.naver.com/hoonjaek","뽀돌","3","09.해외투자","N","",""
"dcknsk","https://blog.naver.com/dcknsk","보리스","2","06.투자","N","",""
"cktjsgh","https://blog.naver.com/cktjsgh","야망 포메","2","06.투자","N","",""
"silver2284","https://blog.naver.com/silver2284","세쿼이아","2","06.투자","N","",""
"charzard372","https://blog.naver.com/charzard372","Cisse","3","09.해외투자","N","",""
"ojh3525","https://blog.naver.com/ojh3525","오묵직","2","06.투자","N","",""
"yukkkiii-","https://blog.naver.com/yukkkiii-","yuki","2","06.투자","N","",""
"bjyang88","https://blog.naver.com/bjyang88","마이더스","2","06.투자","N","",""
"greatbbm","https://blog.naver.com/greatbbm","부발맨","2","06.투자","N","",""
"kskim2k4","https://blog.naver.com/kskim2k4","난넘","2","06.투자","N","",""
"poohxfood","https://blog.naver.com/poohxfood","계속먹자푸우야","2","06.투자","N","",""
"secreatkim","https://blog.naver.com/secreatkim","마도로스J","2","06.투자","N","",""
"hardtoread","https://blog.naver.com/hardtoread","회계사Y","17","05.Influncer","Y","accountanty","https://in.naver.com/accountanty"
"djgkrrl1234","https://blog.naver.com/djgkrrl1234","Always Awake","2","06.투자","N","",""
"tiger_94","https://blog.naver.com/tiger_94","카이로스","2","06.투자","N","",""
"kisung8733","https://blog.naver.com/kisung8733","stonebridge","2","06.투자","N","",""
"somovie","https://blog.naver.com/somovie","하우","2","06.투자","N","",""
"pas804094","https://blog.naver.com/pas804094","경제적 자유를 위하여","2","06.투자","N","",""
"doodoos_","https://blog.naver.com/doodoos_","호호호빵","2","06.투자","N","",""
"cooldavidoff","https://blog.naver.com/cooldavidoff","미국주식전도사","3","09.해외투자","N","",""
"kimyh6939","https://blog.naver.com/kimyh6939","아키용돌","2","06.투자","N","",""
"emedahyung","https://blog.naver.com/emedahyung","이메다형","2","06.투자","N","",""
"kyooo4444","https://blog.naver.com/kyooo4444","리쟝","2","06.투자","N","",""
"yangom2","https://blog.naver.com/yangom2","거누파","2","06.투자","N","",""
"tangopick_official","https://blog.naver.com/tangopick_official","탱고픽","2","06.투자","N","",""
"catch_the_wave","https://blog.naver.com/catch_the_wave","BIGWAVE","2","06.투자","N","",""
"iicspark","https://blog.naver.com/iicspark","무탈","2","06.투자","N","",""
"hyunseok7561","https://blog.naver.com/hyunseok7561","운배영 UBY English","","","N","",""
"wegotmarried","https://blog.naver.com/wegotmarried","Cathy","2","06.투자","N","",""
"doldoraemart","https://blog.naver.com/doldoraemart","도리","2","06.투자","N","",""
"dkanchup","https://blog.naver.com/dkanchup","간첩","2","06.투자","N","",""
"hkd0228","https://blog.naver.com/hkd0228","Hans","2","06.투자","N","",""
"lookatme001","https://blog.naver.com/lookatme001","배짱이","8","10.Youtuber","N","",""
"jakieint","https://blog.naver.com/jakieint","레인메이커","8","10.Youtuber","N","",""
"lyh5039","https://blog.naver.com/lyh5039","열정거북","2","06.투자","N","",""
"econ1335","https://blog.naver.com/econ1335","밸뷰","2","06.투자","N","",""
"timesight","https://blog.naver.com/timesight","Timesight","2","06.투자","N","",""
"ljw1004ljy","https://blog.naver.com/ljw1004ljy","휴식","2","06.투자","N","",""
"freebutdeep","https://blog.naver.com/freebutdeep","프벗디","2","06.투자","N","",""
"humbleinvest","https://blog.naver.com/humbleinvest","겸손한 투자","2","06.투자","N","",""
"fractal1985","https://blog.naver.com/fractal1985","체코","2","06.투자","N","",""
"yjm1742","https://blog.naver.com/yjm1742","후버","2","06.투자","N","",""
"beautifullife83","https://blog.naver.com/beautifullife83","뷰티풀인사이트","2","06.투자","N","",""
"kmsbabu1129","https://blog.naver.com/kmsbabu1129","펭미업","2","06.투자","N","",""
"fatherink","https://blog.naver.com/fatherink","파더잉크","2","06.투자","N","",""
"dogtae79","https://blog.naver.com/dogtae79","치열한 가치투자자","2","06.투자","N","",""
"near_idea","https://blog.naver.com/near_idea","Undercat","2","06.투자","N","",""
"arisong2016","https://blog.naver.com/arisong2016","그로잉업","2","06.투자","N","",""
"yunvestor1","https://blog.naver.com/yunvestor1","윤킴","17","05.Influncer","Y","yunkim","https://in.naver.com/yunkim"
"astro_investrip","https://blog.naver.com/astro_investrip","아스트로","2","06.투자","N","",""
"syprus","https://blog.naver.com/syprus","녹색산업","2","06.투자","N","",""
"must_sky","https://blog.naver.com/must_sky","여의도 이과장","2","06.투자","N","",""
"yjhmisty","https://blog.naver.com/yjhmisty","프리제이","17","05.Influncer","Y","freej","https://in.naver.com/freej"
"meoluchi","https://blog.naver.com/meoluchi","아프로","2","06.투자","N","",""
"acasawa","https://blog.naver.com/acasawa","채작가","2","06.투자","N","",""
"hsyoonnv","https://blog.naver.com/hsyoonnv","아이콘","2","06.투자","N","",""
"finex0x","https://blog.naver.com/finex0x","투자하는 초등쌤","2","06.투자","N","",""
"jkim0625","https://blog.naver.com/jkim0625","호크마","2","06.투자","N","",""
"dprhee","https://blog.naver.com/dprhee","디피","8","10.Youtuber","N","",""
"jyt4159","https://blog.naver.com/jyt4159","초대현대농업","2","06.투자","N","",""
"leesemusa888","https://blog.naver.com/leesemusa888","이세무사","2","06.투자","N","",""
"inacien777","https://blog.naver.com/inacien777","Ging Ging","2","06.투자","N","",""
"v013579","https://blog.naver.com/v013579","티앤엘장인","2","06.투자","N","",""
"libra-apple","https://blog.naver.com/libra-apple","그레고리 허쉬","3","09.해외투자","N","",""
"cjhsonseep","https://blog.naver.com/cjhsonseep","달란트 투자","8","10.Youtuber","N","",""
"sjs0330","https://blog.naver.com/sjs0330","아비셀","2","06.투자","N","",""
"jmgnnch3","https://blog.naver.com/jmgnnch3","머니B","2","06.투자","N","",""
"westguys","https://blog.naver.com/westguys","Insight","2","06.투자","N","",""
"gooday2drive","https://blog.naver.com/gooday2drive","Ride or Die","2","06.투자","N","",""
"dargae","https://blog.naver.com/dargae","소수몽키","3","09.해외투자","N","",""
"ogok2010","https://blog.naver.com/ogok2010","피터린치","3","09.해외투자","N","",""
"georgest","https://blog.naver.com/georgest","ㅈㅂㅈㅂ","2","06.투자","N","",""
"hs5623","https://blog.naver.com/hs5623","대치동원숭이","2","06.투자","N","",""
"xwjstkx17","https://blog.naver.com/xwjstkx17","David","2","06.투자","N","",""
"hyojuni80","https://blog.naver.com/hyojuni80","오비완","3","09.해외투자","N","",""
"netjin1","https://blog.naver.com/netjin1","치타돌풍","2","06.투자","N","",""
"rationale9","https://blog.naver.com/rationale9","Rationale","2","06.투자","N","",""
"khstart","https://blog.naver.com/khstart","다니엘킴","3","09.해외투자","N","",""
"santa_croce","https://blog.naver.com/santa_croce","Santacroce","2","06.투자","N","",""
"jeongandoh","https://blog.naver.com/jeongandoh","J n O","2","06.투자","N","",""
"capxtop7","https://blog.naver.com/capxtop7","도반","2","06.투자","N","",""
"andron77","https://blog.naver.com/andron77","Dream","2","06.투자","N","",""
"hogirl86","https://blog.naver.com/hogirl86","버핏빠","2","06.투자","N","",""
"u_n_i_cooking","https://blog.naver.com/u_n_i_cooking","나도쿠킹","2","06.투자","N","",""
"noruda11","https://blog.naver.com/noruda11","noruda11","2","06.투자","N","",""
"yhopskin","https://blog.naver.com/yhopskin","대치동 키즈","17","05.Influncer","Y","yhopskin","https://in.naver.com/yhopskin"
"mktgguy","https://blog.naver.com/mktgguy","이야기꾼","17","05.Influncer","Y","mktgguy","https://in.naver.com/mktgguy"
"kimwh253967","https://blog.naver.com/kimwh253967","감부","17","05.Influncer","Y","gamju","https://in.naver.com/gamju"
"shryankim","https://blog.naver.com/shryankim","VT","2","06.투자","N","",""
"sielle83","https://blog.naver.com/sielle83","문썬","","","Y","ssunny2113","https://in.naver.com/ssunny2113"
"kahwi_jun","https://blog.naver.com/kahwi_jun","가휘","2","06.투자","N","",""
"insightbank","https://blog.naver.com/insightbank","뱅커","2","06.투자","N","",""
"kiwoomhero","https://blog.naver.com/kiwoomhero","키움증권","4","11.증권사","N","",""
"grandjun82","https://blog.naver.com/grandjun82","경제노트","2","06.투자","N","",""
"grit3141","https://blog.naver.com/grit3141","게으른 천만장자","2","06.투자","N","",""
"top_ranking","https://blog.naver.com/top_ranking","탑랭킹","2","06.투자","N","",""
"mobidic25","https://blog.naver.com/mobidic25","공감사유","2","06.투자","N","",""
"china_lab","https://blog.naver.com/china_lab","차이나랩","","","N","",""
"hong8706","https://blog.naver.com/hong8706","프리즘 홍춘욱대표","2","06.투자","N","",""
"bomod","https://blog.naver.com/bomod","언젠간 부자","17","05.Influncer","Y","bomod","https://in.naver.com/bomod"
"jjangtg1","https://blog.naver.com/jjangtg1","호빵먹는 부자","17","05.Influncer","Y","richeatinghoppang","https://in.naver.com/richeatinghoppang"
"bluedog10","https://blog.naver.com/bluedog10","피터린치아들","2","06.투자","N","",""
"mong4445","https://blog.naver.com/mong4445","플래드낵","2","06.투자","N","",""
"m_k_jo","https://blog.naver.com/m_k_jo","조박","2","06.투자","N","",""
"sum7788","https://blog.naver.com/sum7788","수미숨","17","05.Influncer","Y","sumisum","https://in.naver.com/sumisum"
"hnzzang486","https://blog.naver.com/hnzzang486","구채희","17","05.Influncer","Y","chaeheekoo","https://in.naver.com/chaeheekoo"
"jetarrow82","https://blog.naver.com/jetarrow82","빅대디","2","06.투자","N","",""
"tysmyasset","https://blog.naver.com/tysmyasset","유안타증권","4","11.증권사","N","",""
"jabu_loves","https://blog.naver.com/jabu_loves","안전마진","2","06.투자","N","",""
"ad2021","https://blog.naver.com/ad2021","초대","2","06.투자","N","",""
"jakojako","https://blog.naver.com/jakojako","재콩","2","06.투자","N","",""
"mardukas","https://blog.naver.com/mardukas","비밀이야","","","Y","bimirya","https://in.naver.com/bimirya"
"heyda46","https://blog.naver.com/heyda46","heyda","2","06.투자","N","",""
"blissfulnara","https://blog.naver.com/blissfulnara","미엘린","2","06.투자","N","",""
"ihappy0304","https://blog.naver.com/ihappy0304","숙주나물","2","06.투자","N","",""
"tinycare","https://blog.naver.com/tinycare","작은배려","","","Y","tinycare","https://in.naver.com/tinycare"
"e_adventure","https://blog.naver.com/e_adventure","KB증권","4","11.증권사","N","",""
"ladesky","https://blog.naver.com/ladesky","선물공방","","","N","",""
"jcreater9549","https://blog.naver.com/jcreater9549","올플","","","N","",""
"groupgenius","https://blog.naver.com/groupgenius","MOIRA","2","06.투자","N","",""
"gopricing","https://blog.naver.com/gopricing","포휠즈","2","06.투자","N","",""
"09976","https://blog.naver.com/09976","오르골","2","06.투자","N","",""
"der_spielplatz","https://blog.naver.com/der_spielplatz","빨간모과","2","06.투자","N","",""
"1john324","https://blog.naver.com/1john324","쏭즈캠퍼스","2","06.투자","N","",""
"gosu3ding","https://blog.naver.com/gosu3ding","gosu3ding","","","N","",""
"9585844fjfj","https://blog.naver.com/9585844fjfj","ENT","2","06.투자","N","",""
"annajung1","https://blog.naver.com/annajung1","애나정AnnaJoung","17","05.Influncer","Y","annajoung","https://in.naver.com/annajoung"
