blogId,blogUrl,nickname,groupIds,groupNames,isInfluencer,influencerId,influencerUrl
"forfreedaddy","https://blog.naver.com/forfreedaddy","자유아빠","17","05.Influncer","Y","forfreedaddy","https://in.naver.com/forfreedaddy"
"tosoha1","https://blog.naver.com/tosoha1","농구천재","7","02.Insight","N","",""
"firelifestyle","https://blog.naver.com/firelifestyle","미생","2","06.투자","N","",""
"kukuri923","https://blog.naver.com/kukuri923","KARMA","2","06.투자","N","",""
"trueroad7","https://blog.naver.com/trueroad7","StarSeed","2","06.투자","N","",""
"luy1978","https://blog.naver.com/luy1978","피터케이","7","02.Insight","N","",""
"invest_to_live","https://blog.naver.com/invest_to_live","Between Waves","2","06.투자","N","",""
"redbirdstock","https://blog.naver.com/redbirdstock","레드버드","17","05.Influncer","Y","redbirdstock","https://in.naver.com/redbirdstock"
"eastman1478","https://blog.naver.com/eastman1478","지평","2","06.투자","N","",""
"curiouswave","https://blog.naver.com/curiouswave","양구원","2","06.투자","N","",""
"jpilot97","https://blog.naver.com/jpilot97","체리쥬빌레","2","06.투자","N","",""
"kinvestors","https://blog.naver.com/kinvestors","소형주투자자","2","06.투자","N","",""
"greatahn","https://blog.naver.com/greatahn","푸른심장","7","02.Insight","N","",""
"yes_invest","https://blog.naver.com/yes_invest","Yes","2","06.투자","N","",""
"bae_luckycharm","https://blog.naver.com/bae_luckycharm","복덩이","14","03.정리","N","",""
"sw13090","https://blog.naver.com/sw13090","터닝포인트","2","06.투자","N","",""
"kimcharger","https://blog.naver.com/kimcharger","김찰저","2","06.투자","N","",""
"riamunger","https://blog.naver.com/riamunger","리아멍거","17","05.Influncer","Y","riamunger","https://in.naver.com/riamunger"
"crush212121","https://blog.naver.com/crush212121","체리형부","2","06.투자","N","",""
"kyoung_bum","https://blog.naver.com/kyoung_bum","고니","2","06.투자","N","",""
"oracle0923","https://blog.naver.com/oracle0923","화이트아웃","2","06.투자","N","",""
"chcmg2022","https://blog.naver.com/chcmg2022","너쟁이","2","06.투자","N","",""
"avarter","https://blog.naver.com/avarter","러프","2","06.투자","N","",""
"bhinvestor","https://blog.naver.com/bhinvestor","춀스","2","06.투자","N","",""
"cr2875","https://blog.naver.com/cr2875","오크트리","2","06.투자","N","",""
"dss544749","https://blog.naver.com/dss544749","별빛Q","2","06.투자","N","",""
"the-5-element","https://blog.naver.com/the-5-element","제5원소","2","06.투자","N","",""
"butterfly_asset","https://blog.naver.com/butterfly_asset","T","2","06.투자","N","",""
"limsk1212","https://blog.naver.com/limsk1212","리스크","2","06.투자","N","",""
"briller_research","https://blog.naver.com/briller_research","BRILLER","2","06.투자","N","",""
"combat123456","https://blog.naver.com/combat123456","공대생투자자","2","06.투자","N","",""
"kimsinvest","https://blog.naver.com/kimsinvest","김선생","2","06.투자","N","",""
"thinkingdepth","https://blog.naver.com/thinkingdepth","생각의깊이","2","06.투자","N","",""
"hls2683445","https://blog.naver.com/hls2683445","BI","7","02.Insight","N","",""
"interca","https://blog.naver.com/interca","브라이트","2","06.투자","N","",""
"noback91","https://blog.naver.com/noback91","로마챌린저","2","06.투자","N","",""
"somewhaterror","https://blog.naver.com/somewhaterror","어느정도오차","2","06.투자","N","",""
"zero_family","https://blog.naver.com/zero_family","닝겐자이라","17","05.Influncer","Y","zero_family","https://in.naver.com/zero_family"
"tmdejr1267","https://blog.naver.com/tmdejr1267","Seung","7","02.Insight","N","",""
"project0347","https://blog.naver.com/project0347","그로스파인더","2","06.투자","N","",""
"wild3","https://blog.naver.com/wild3","Value Buyer","2","06.투자","N","",""
"snupe21","https://blog.naver.com/snupe21","까를로스","2","06.투자","N","",""
"kim980525","https://blog.naver.com/kim980525","주초투","2","06.투자","N","",""
"alteking","https://blog.naver.com/alteking","검색왕","2","06.투자","N","",""
"ldk27","https://blog.naver.com/ldk27","디케이","2","06.투자","N","",""
"simbakiki","https://blog.naver.com/simbakiki","찰떡꿀떡","2","06.투자","N","",""
"jjangee1","https://blog.naver.com/jjangee1","JH","2","06.투자","N","",""
"ikwjjang1","https://blog.naver.com/ikwjjang1","지율","2","06.투자","N","",""
"richyun0108","https://blog.naver.com/richyun0108","작은투자자","1","01.Daily","Y","small-investor","https://in.naver.com/small-investor"
"onejejuwave","https://blog.naver.com/onejejuwave","제주바람","2","06.투자","N","",""
"startval","https://blog.naver.com/startval","가치투자의 시작","2","06.투자","N","",""
"mistergray","https://blog.naver.com/mistergray","회색인간","2","06.투자","N","",""
"anel26","https://blog.naver.com/anel26","꿈꾸는책상","2","06.투자","N","",""
"forsword","https://blog.naver.com/forsword","산업분석가 박종대","17","05.Influncer","Y","forsword","https://in.naver.com/forsword"
"yminsong","https://blog.naver.com/yminsong","와이민","17","05.Influncer","Y","yminsong","https://in.naver.com/yminsong"
"suma_maple","https://blog.naver.com/suma_maple","옹쿠","2","06.투자","N","",""
"bboyanaga","https://blog.naver.com/bboyanaga","애널리스트김경민CFA","2","06.투자","N","",""
"umgimae","https://blog.naver.com/umgimae","짜잔짜잔","2","06.투자","N","",""
"cih2996","https://blog.naver.com/cih2996","앙드레C","2","06.투자","N","",""
"rock2580","https://blog.naver.com/rock2580","코난","2","06.투자","N","",""
"business_scout","https://blog.naver.com/business_scout","Gnang Ha Za","2","06.투자","N","",""
"stock_surfing","https://blog.naver.com/stock_surfing","파도타기","2","06.투자","N","",""
"jwleewhy","https://blog.naver.com/jwleewhy","백규","2","06.투자","N","",""
"july3003","https://blog.naver.com/july3003","Benjamin","2","06.투자","N","",""
"sunstudy-","https://blog.naver.com/sunstudy-","선진짱","2","06.투자","N","",""
"kang760302","https://blog.naver.com/kang760302","Justine","2","06.투자","N","",""
"investment_diary","https://blog.naver.com/investment_diary","서울대전부산","2","06.투자","N","",""
"windalpha","https://blog.naver.com/windalpha","바람돌이","2","06.투자","N","",""
"royvalue","https://blog.naver.com/royvalue","로이","2","06.투자","N","",""
"hodolry","https://blog.naver.com/hodolry","hodolry","7","02.Insight","Y","hodolry","https://in.naver.com/hodolry"
"dny_gn","https://blog.naver.com/dny_gn","넓적부리황새","2","06.투자","N","",""
"carim1227","https://blog.naver.com/carim1227","정중동","2","06.투자","N","",""
"coolth","https://blog.naver.com/coolth","좌월석점홈런","2","06.투자","N","",""
"idashi","https://blog.naver.com/idashi","IㅡI","2","06.투자","N","",""
"penpenn1234","https://blog.naver.com/penpenn1234","흑우2","2","06.투자","N","",""
"foreconomy","https://blog.naver.com/foreconomy","알파카 이코노미아","14","03.정리","Y","foreconomy","https://in.naver.com/foreconomy"
"teoinvest","https://blog.naver.com/teoinvest","테오","2","06.투자","N","",""
"economakase0","https://blog.naver.com/economakase0","economakase","16","08.Macro","N","",""
"new10yrs","https://blog.naver.com/new10yrs","멘탈거북","2","06.투자","N","",""
"zaino1","https://blog.naver.com/zaino1","자이노","2","06.투자","N","",""
"will1009__","https://blog.naver.com/will1009__","겸하","2","06.투자","N","",""
"showyouthemoney","https://blog.naver.com/showyouthemoney","쇼유","2","06.투자","N","",""
"smilingmetheny","https://blog.naver.com/smilingmetheny","전주불도저","7","02.Insight","N","",""
"gkdldy2004","https://blog.naver.com/gkdldy2004","뎅오오오","2","06.투자","N","",""
"pick_vida","https://blog.naver.com/pick_vida","어나부","2","06.투자","N","",""
"eksqlwnstj","https://blog.naver.com/eksqlwnstj","중천","2","06.투자","N","",""
"bankertofu","https://blog.naver.com/bankertofu","뱅커두부","2","06.투자","N","",""
"yak_bro","https://blog.naver.com/yak_bro","약짓는 오빠들","2","06.투자","N","",""
"a463508","https://blog.naver.com/a463508","춰릿","2","06.투자","N","",""
"desertfox_28","https://blog.naver.com/desertfox_28","달리기하는 사막여우","2","06.투자","N","",""
"becomingmunger","https://blog.naver.com/becomingmunger","바야흐로","2","06.투자","N","",""
"68083015","https://blog.naver.com/68083015","잠실개미","2","06.투자","N","",""
"kijaw1","https://blog.naver.com/kijaw1","낭만을찾아서","2","06.투자","N","",""
"longtermgrowthinvest","https://blog.naver.com/longtermgrowthinvest","롱텀성장투자","2","06.투자","N","",""
"whrbtjr91","https://blog.naver.com/whrbtjr91","소중한 투자자 규마베","2","06.투자","N","",""
"ggbbvv","https://blog.naver.com/ggbbvv","간동","2","06.투자","N","",""
"stalk0218","https://blog.naver.com/stalk0218","Stalk","2","06.투자","N","",""
"yym0202","https://blog.naver.com/yym0202","Rainmaker","8","10.Youtuber","N","",""
"ubermensch815","https://blog.naver.com/ubermensch815","주니달래","2","06.투자","N","",""
"skimplan","https://blog.naver.com/skimplan","약빤투자","2","06.투자","N","",""
"extremalvalue","https://blog.naver.com/extremalvalue","그리피스","2","06.투자","N","",""
"darkfile","https://blog.naver.com/darkfile","트리플에이스","2","06.투자","N","",""
"cart10101","https://blog.naver.com/cart10101","cart","2","06.투자","N","",""
"saynoletter","https://blog.naver.com/saynoletter","데이원","2","06.투자","N","",""
"gyustock","https://blog.naver.com/gyustock","규스탁","2","06.투자","N","",""
"stargajoa","https://blog.naver.com/stargajoa","재덕","2","06.투자","N","",""
"drleepr","https://blog.naver.com/drleepr","외노자 정리","2","06.투자","N","",""
"sunhack7474","https://blog.naver.com/sunhack7474","써나기","2","06.투자","N","",""
"startawoo","https://blog.naver.com/startawoo","테드텟","2","06.투자","N","",""
"survivaldopb","https://blog.naver.com/survivaldopb","도피비","2","06.투자","N","",""
"englhk","https://blog.naver.com/englhk","벤저민 규","2","06.투자","N","",""
"uncastle0426","https://blog.naver.com/uncastle0426","유엔캐슬","2","06.투자","N","",""
"kp_soonhwan","https://blog.naver.com/kp_soonhwan","독서하는 투자자","2","06.투자","N","",""
"ps_4","https://blog.naver.com/ps_4","성큐","2","06.투자","N","",""
"benine-","https://blog.naver.com/benine-","비나인","2","06.투자","N","",""
"cinedemian","https://blog.naver.com/cinedemian","아황 BoB","17","05.Influncer","Y","bulloverbear","https://in.naver.com/bulloverbear"
"infoindia","https://blog.naver.com/infoindia","강황맨","2","06.투자","N","",""
"mysis2819","https://blog.naver.com/mysis2819","HY","2","06.투자","N","",""
"happysowoo","https://blog.naver.com/happysowoo","아름드리","2","06.투자","N","",""
"jihoon3211","https://blog.naver.com/jihoon3211","최공이산","2","06.투자","N","",""
"bobman2000","https://blog.naver.com/bobman2000","밥맨","2","06.투자","N","",""
"skwwkd1","https://blog.naver.com/skwwkd1","투자하는 도구리","2","06.투자","N","",""
"ske4548","https://blog.naver.com/ske4548","텐베거","2","06.투자","N","",""
"bitterb","https://blog.naver.com/bitterb","H막스","2","06.투자","N","",""
"insightfulproject","https://blog.naver.com/insightfulproject","탐구소년","2","06.투자","N","",""
"swcha1977","https://blog.naver.com/swcha1977","투자 탐식가","2","06.투자","N","",""
"6269287","https://blog.naver.com/6269287","빡빡이 아빠","2","06.투자","N","",""
"jyeon_0625","https://blog.naver.com/jyeon_0625","작은거인","7","02.Insight","N","",""
"gentlealgu","https://blog.naver.com/gentlealgu","프로익절러","2","06.투자","N","",""
"llbohyunll","https://blog.naver.com/llbohyunll","로그아웃","3","09.해외투자","N","",""
"skrjs6484","https://blog.naver.com/skrjs6484","불릿","2","06.투자","N","",""
"ahnsfarm","https://blog.naver.com/ahnsfarm","길벗","2","06.투자","N","",""
"s103800","https://blog.naver.com/s103800","들판","2","06.투자","N","",""
"cahier","https://blog.naver.com/cahier","카이에","2","06.투자","N","",""
"silvury","https://blog.naver.com/silvury","알디슨","17","05.Influncer","Y","rdison","https://in.naver.com/rdison"
"dashno","https://blog.naver.com/dashno","좋은생각","2","06.투자","N","",""
"valueingrowth","https://blog.naver.com/valueingrowth","생텀","2","06.투자","N","",""
"remilog","https://blog.naver.com/remilog","래미아노","2","06.투자","N","",""
"ks200331022","https://blog.naver.com/ks200331022","학봉이","14","03.정리","N","",""
"ehgur06","https://blog.naver.com/ehgur06","안아줘","2","06.투자","N","",""
"haines","https://blog.naver.com/haines","위리암William","17","05.Influncer","Y","haines","https://in.naver.com/haines"
"sw130900","https://blog.naver.com/sw130900","sw130900","2","06.투자","N","",""
"saladin1014","https://blog.naver.com/saladin1014","PhD","2","06.투자","N","",""
